id,text,label
1,"user user kalau untuk menghadapi banjir dari laut mau ga mau dibangun benteng laut seperti di luar negri , karena tanah jakarta tanahny semakin turun sedangkan disekitar jakarta tinggi , ibarat ada cekungan di jakarta numpuk dimari semua airnya , solusinya benteng laut menahan air dr laut",0
2,perasaan baru gue balik dari salak abis tahun baru . balik peradaban jakarta udh jd kolam . jalan nerjang banjir . tidur di pinggir rel kereta deket rumah temen karena cuma di situ yang kering . mau ke rumah udh kemaleman . airnya masih tinggi . eh tau2 mau tahun baru lagi aja Ã°Å¸â„¢â€š,0
3,gimana bisa perasaan kemarin masih heboh banjir tinggi di jakarta,0
4,"curah hujan yang mulai tinggi , pemprov dki menyiapkan anggaran khusus untuk tangani banjir jakarta hashtag url",0
5,"laporan drone kegiatan pekerjaan : kerja bakti kali sentiong dalam rangka penanganan banjir di wilayah johar baru lokasi pekerjaan : jl . pulo gundul-tanah tinggi kec.johar baru hari/tanggal : minggu , 18 oktober 2020 dihadiri oleh : wakil gubernur dki jakarta beserta jajarannya url",4
6,"user user luar biasa berapa m3 `` sendimentasi ' yang bisa diangkat dimana akan tambah kedalaman sungai utk daya tampung air pada musim hujan apalagi jika curah hujannya tinggi , itu langkah utk antisipasi banjir yang nyata semoga dki jakarta terbebas banjir asalkan konsisten program kerjanya ! df",0
7,"alamak . jakarta lagi tinggi corona , di tunjang dgn banjir , warga nya bahagia dan bersukaria seperti ini saya yakin corona betah dan masuk list tetap menjadi warga dki . hashtag url",0
8,"catatan merah lainnya al . penanggulangan banjir , covid 19 , kemacetan , tingkat polusi yang tinggi , hampir tidak ada perkembangan yang berarti rumah dp rp 0 jadi catatan merah dalam peringatan tiga tahun pemerintahan gubernur anies baswedan di dki jakarta . url",0
9,"banjir kenangan kebanjiranÃ°Å¸Ëœâ€  @ jln . kayu tinggi , cakung jakarta timur url",2
10,jakarta dan sekitarnya : covid tinggi omnibus law ntar lagi banjir goodjob pak !,0
